author,comment,like_count
@teksas1692,Fanatik Bursaspor'lu olarak kendisini zerre sevmem. Ama kulübüne bağlı sadık böyle bir başkan görmedim. Bu konuda sonsuz saygı duyarım.,34
@Matias_1907,Islikliyanlar gfb ve sonuna kadar haklilar bnce,1
@555net5,Miladdan önce kaçinci yil ya bu?,1
@sahinkapitan1181,"Başkanım hakkını helal et,çok güzel yaşattın bu fenerbahçeye senin gibi bir başkanımız olduğu için gurur duyuyorum",33
@cimbomluxx1020,Pavali köpeklevvvvv,2
@berkayguler5808,Dün Fenerbahçe Şampiyon olduğu halde Alex Alex diye Aziz yıldırıma sövenler bu gün fenerbahçeyi rezil ettiği halde Ali Koça tek bir laf etmiyor.Ot paralarını veren var nasıl olsa çek otu Aziz Yıldırım batırdı de çekil köşene paralı köpekler sizi.,0
@sevdamzfenerbahce3677,Ah be aziz başkan,0
@nightwatcher8717,Şikeci aziz şike yapma,0
@adilemir7471,Bugün buvda fenevbahçe şampiyonluğunu kutlayov.,27
@borarider669,bunlar Fenerbahce taraftari degil bunlar yavsak orospu cocuklari siktirin gidin bu staddan.,0
@semihmrl3925,Ali Koç'un başarısı Aziz Yıldırım'ın başarısının ¼'i bile etmez. Seni yuhalayan herkesin... neyse,15
@EL-VaTo58.5,Aziz yıldırım sen türkiyenin gelmiş geçmiş en büyük takım başkanısın senin hakkını yediler yanlış yaptılar şimdi ceza çekiyolar söylediğin sözlerde sonuna kadar haklısın,15
@hasimefeustuner3477,💙💛💙💛💙💛💙💛💙💛,0
@canerkok,fb tv doğum günümü kutlamadı diye sitem etmişsin tıpkı alexin emeklerini bir kalemde hak etmediği biçimde gönderdin kendi ipini çektin büyük başkan! kendine fenerbahçeye yakışanı yapmadın. şunu çok iyi anladım ne iş yaparsan yap tüm emeklerin an olur bir kalemde silinebilir buda canlı örneği. o insanlara paralı kopek diyecek kadar ne zenginsin nede karakterlisin. sen kimsin stada sokmayacak git evine otur şimdi. oyle göte boyle yarak.,0
@mertkelle,Tribünler ne diyor duyamadım ?,0
@oyuntayfas5637,"Senin ananı avcradını... Şerefsiz it >:(
ALEX DE SOUZA",0
@kaanakssoyy,Kendimi bi an miting de zannettim :D,9
@ramazanipekten7549,arkadaşlar adam R söyliyemiyor bu nedemek oluyor yani adamda R YOK :),13
@yakubbasyigit7387,Keşke bu senede başkan sen olsan en azından aziz takımı idare ede biliyordu bı Ali Koç bı sıkım yapamiyo 20 senelik büyü gitti amk,2
@berat166,İzledikçe gülüyom amk 😂😂,2
@taksimday7987,F E N E V İ M B E N İ Ğ,1
@emineugurlu9487,Pavalı köpekler,1
@efyalnomossa7760,Milattan görüntüler fenerbahçe diye bir kulübün asırlar önce şikeyle satın aldıkları şampiyonluk kutlaması,2
@Galatasaray9277,Biatcı köpekler tepki veremiyor,0
@Aliveli-bo9pq,Arka fonda hekimoğu çalıyor özlendin baba #azizyıldırım,0
@Furkan-nc8lu,Amk orda olsaydım ALEX ALEX diye bağırırdım,1
@nirettintaksim6890,"Sizin Hayalleriniz Bizim Gerçeklerimizdir 
Daha nasıl ŞAMPİYON Kutlaması olur onu bilmiyorsunuz heheheheheheheheheheheheheheheheheheheh",11
@mansurabbasova5964,bence sefa reis  cinayete kurban gitti ve  katili yada azmettiricisi  azizdir .,1
@cihanaykanat4794,Hey gidi günler hey,0
@Serkanck,ahahaha  :D  sizi parali kopekler ahlaksizlar serefsizler . hepnizin sampiyonlugunu kutlarim :D,0
@erdemsahin6484,"10-15 yıla aynı konuşmayı Ali Koç da yapar. Tabi olay Alex gibi birşey olmaz, getiremez o tarz adamları :D",10
@TheCrazy_TR,fenerin bu kutlamamı diyeyim rezilliğinimi diyeyim her neyse de GALATASARAYIN 22.NCİ ŞAMPİYONLUK KUTLAMASINI İZLEYİNCE GALATASARAYIN ÇOK BÜYÜK BİR KLÜP OLDUĞUNU BİR KEZ DAHA TEYİT ETTİM :) FENER AĞLAMA,1
@casperadar6056,Büyük fenerbahçe taraftarı şerefsiz ve pavalı köpeksiniz kısa ve net 😂😂😂😂ne rezil takımsınız ulan,0
@jejjshehnwnsnd1986,Adam sonuna kadar haklı,4
@ibrahimkaygun4088,Affet babaaa,0
@cihanaykanat4794,kafam bozulunca acıp izlerim terapi oluyor,13
@AhmetKaan-uo7xu,Afvlakvısla pavalı kopekle,0
@kendinisev3302,Sürünün şimdi,2
@KirbyKirbyKirby1735,gsliyim ama aziz yıldırımı özledim,39
@saimeylmaz6590,Faa,0
@sinanosmanoglu7780,Ali koç başkan Fenerbahçe 1. Lige,1
@highgamertv5313,"Eğer GFB için diyorsa haklı
https://youtu.be/4kAzG0FAFw0
bu videoda GFB nin paralı köpekleri bilerek gole sevinmiyor",0
@serxanibrahimov5159,fenevbahce😂😂,2
@keriim55,Kralll Başkan senin kıymetini bilemediler :D sksjshh,3
@Emre-ik2db,Bilemedik kıymetini bilmedik,5
@donduduran937,Siktir aziz,0
@06behzatc,Büyük fenevbahçenin yüvekli tavaftavı,2
@mustafaerenerdin2016,betev ol şikebahçe  BABANIZ ESES  (ALİ KOÇ BAŞKAN FENEVBAHÇE KÜMEYE),2
@jhanse7701,ADAMIN GÜVENLİK SAYISINI ÇOK MERAK EDİYOM AMK KENDİ KULÜBÜNE BAĞIRIYOR NEYMİŞ EFENDİM FENER İÇİN HAPSE GİRMİŞ DEE.. ALEXİN TAKIMA KATKISI YOKMUYDU AQ O TAKIMI ALEX ADAM ETTİ AYRICA TAKIMDA KAÇ TANE ÇÖP VAR ONLARI KOV MK BİDE ADAM KONUŞMAYI KAĞITTAN YAPIYOR MK ALİ KOÇ EN AZINDAN İÇİNDEN GELENİ SÖYLÜYO,0
@dogukanmavis9600,Nasil bir cesaret lan bu   😂😂,11
@hasan_ozgenc005,Alın size al koç,2
@kenshin4322,Sizi stada sokmam pavalı köpeklev,0
@isapehlivanoglu2945,Aziz yıldırım daha iyi başkandı,24
@hawhdhwihsishsj,😂😁😂😀,0
@cadogaming9162,iste ogün trabzonspor'un şampiyonlu çalan şikeci şerefsiz namussuz fenerbahçe,0
@yuceltongur5763,Harry potterdaki ron weasleyin tr dublajini aziz baskan yapti sanirim asdjsjsjshjs :d,4
@emreemre6577,"Adam taraftarlara pavalı köpekler diyor, Fenerliler de adam haklı helal lan bize ne güzel köpek dedi,diyor..",1
@sneijdergs8736,Komedi filmi yeminle ne zaman izlesem gülmekten karnıma ağrılar giriyor 😂😂😂😂 bi başkan düşünün kendi kulübünün sampiyonluk kutlamasında 80 milyonun izlediigi kutlamada kendi taraftarlarına demediğini bırakmıyor 🤣🤣🤣🤣,42
@emrahofficial7573,Fenerbahçe ve Aziz Yıldırım vizyonu 😂,2
@krultzragao4512,Önce kufrediyo sonra eşsiz diyo,3
@atakankuden9369,O bağıranlar bi daha stada giremiyor,0
@bariskutaygul2241,Sanane aziz isdediğni derler,2
@yucibov,Lan Fenerbahçemin Şampiyonluk kutlamasi bile kaus,176
@kadirssv,Volkan el hareketi yapmış AQ 😂,1
@kaandurmaz2062,Götün yiyorsa alma bizi lütfen alma bizi stada aciz yıldırım :D,2
@Azzzyyyy99977,Ule adam profussionel davranmasi lazim napio adam sövuyor 😂,2
@tlhayn,Güle güle!,1
@tf386,Ali Koc adami madam yapar :D,1
@galerici2793,Hakkını helal et büyük başkan hala kalbimizde başkansın Alex üzerinden prim yapılmaz.,3
@allahszbugra2126,Ali koçcuyum ama adam haklı,6
@busrasaylan1296,O PARALI KÖPEKLER DEDİĞİN BÜYÜK FENERBAHÇE TARAFTARI NASIL DA GÖNDERDİ SENİ AMA:ddd,15
@haslanmspatates7425,Ali koç winnnn,1
,Bu hikâye’nin sonu böyle mi olacaktı?,1
@umitkav,aziz yıldırımı bitiren konuşma,11
@dilekbyrz,Edepsizz,3
@sezo-bab2525,Rezillige bak amk hahaha  😀😀😀,2
@mehmetc191,ulan genç fenerbahçeliler :D,0
@emaarturkiye232,Adamda taşak var olm koca trübünlere posta koyuyo amk :)),116
@hakanserhatozmen6096,Adamlar kufur ediyor. Onlarda alkisliyor aq.,0
@batuhancobanck6823,Adam küfür ediyor..... Salaklar alkışlıyor..... Vallahi bunlar kuş beyinli 😂,24
@fuatkeserbicer9268,Sizler fenerbahceli degilsiniz sike yapmayi bilmiyovsunuz pavali kövekler,0
@aysunnmert4626,göt şikeciler,0
@cagrefecin215,Vavdav ovavı,5
@fatihcann4784,Ahahahahah amk salaklari,0
@haruncakroglu284,R demeyi öğrende bi,1
@yusufozgul6769,adam trübüne kufur edio daha da cogalıyorlar bide alkışlıyorlar küçük beyinli kanaryalar,0
@jadolive-mustafa7468,1:05 Tevbiyesizlev pavalı köpeklev 😂😂,6
@oyunheyecan8860,valla biz sahya giriyoz sen çık ali koç,0
@eyx2emre51siken7,1:59 Volkan Demirel'e bakın el hareketi çekiyor djdjdjdj,65
@emiryayla9168,fenerbahçenin boş taraftarı,0
@azizyildirim3930,Ne cildirttilar beni orada şampiyon olmuşuz Alexde Alex sanki şampiyonluğu Alex almış oradaki çocukların emeğine yazık tevbiyesiz pavalı kopeklev,111
@denizmuzikorganizasyon6557,Pavali köpekler,0
@mehmetcan2737,adam haklı amk dahane yapsın adam bende fenerliyim yani adam baya haklı  dahane,1
@KadroSports,Her yer aziz her yer yıldırım,4
@alierim8930,AZİZ BAŞKAN !!!!!!!,0
@kaansasmaz6146,"Büyük ve kutsal fenerbahce taraftarı
-Şeğefsizleğ ahlaksızlağ pağalı köpekleğ",162
@erayulusoy3577,Diye bağırdı sığır adam,1
@ismetkeskinoglu5717,tevbiyesıvlık etvvvvasdasgfdfdfhudbj56e5rtsv,0
@tommyvercetti9877,pavalı köpeklev :D,1
@caganerrs,Amk ben gsliyim sikerim anti feneri,4
@mangekyosharingan315,VAVDAV,21
@chivkon,PAVALI KÖPEKLER,3
@rammer6540,pavalı köpeklev,1
@havlayankedi3164,P A V A L I  K Ö P E K L E N D İ N İ Z,13
@havlayankedi3164,tevbiyesizlik etmeyin,5
@justsmile5036,Şike şike,4
@yusufcumamuratov9106,Fenerbahçe alehisni  kahrini çekyo,0
@videodeposu8862,Bu gün buvada fenevbace şampuyonluğunu kutlayooo :)),16
@bedirhansimsek1905,Haahajaja,0
@Mert-lr1mx,tutmayın küçük enişteyi,0
@Brady24ify,Aziz Yıldırım haklı olsa da üslubu yanlış. Bu kadar bağırmasaydı hiç kimse o tribünlerin sloganını bilmeyecekti. Ama Aziz Yıldırımın olayı kaşıması doğru olmadı. O gecenin hatırına susması daha iyi cevap olurdu. Ha yine söylüyorum haklıdır ama bu konuşmanın yeri ve sırası değildi,142
@atakankuden9369,adam haklı şampiyon olmuşuz alex gitmiş alex diye bağırıyorlar,62
@youngturk_2023,💙💛💙💛 EN BÜYÜK BAŞKAN SENSIN 💙💛💙💛,8
@erolcutost687,afedersiniz ama fazla abartmis sanane lan,25
@furkanyldrm4774,Fenerbahçe'liyim ama adam haklı,28
@ardakran2657,Aziz yıldırım sen kimsin lan alexsi atıyyonlan,5
@yigitdemir4325,kutluyolum,8
